marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
audi,A3,8.0,Diesel,2018,Manuelle,0,205000.0
mercedes,Classe,8.0,Diesel,2022,Automatique,0,860000.0
land-rover,Range,12.0,Diesel,2018,Automatique,0,800000.0
toyota,C-hr,10.0,Hybride,2020,Automatique,0,228000.0
volkswagen,Caddy,8.0,Diesel,2020,Manuelle,0,157000.0
toyota,C-hr,10.0,Hybride,2018,Automatique,0,191000.0
audi,A1,6.0,Diesel,2018,Automatique,0,194000.0
toyota,Rav-4,9.0,Diesel,2014,Manuelle,0,149000.0
fiat,Punto,6.0,Essence,2014,Manuelle,0,53000.0
peugeot,307,6.0,Diesel,2004,Manuelle,0,58000.0
renault,Megane,6.0,Diesel,2020,Automatique,0,193000.0
land-rover,Range,11.0,Diesel,2015,Automatique,0,386000.0
hyundai,Accent,6.0,Diesel,2019,Automatique,0,140000.0
land-rover,Range,11.0,Diesel,2015,Automatique,0,355000.0
audi,Q3,8.0,Diesel,2021,Automatique,0,540000.0
dacia,Dokker,6.0,Diesel,2020,Manuelle,0,125000.0
mercedes,Classe,31.0,Essence,2006,Automatique,0,200000.0
volkswagen,Golf,16.0,Essence,2007,Automatique,0,95000.0
peugeot,Partner,6.0,Diesel,2018,Manuelle,0,118000.0
land-rover,Range,11.0,Diesel,2012,Automatique,0,178480.0
peugeot,208,6.0,Diesel,2023,Manuelle,0,169000.0
dacia,Lodgy,6.0,Diesel,2022,Manuelle,0,143000.0
volkswagen,T-roc,8.0,Diesel,2023,Automatique,0,345000.0
ford,Kuga,8.0,Diesel,2015,Manuelle,0,154000.0
ds,Ds7,8.0,Diesel,2019,Automatique,0,278000.0
audi,Q5,8.0,Diesel,2023,Automatique,0,1060000.0
land-rover,Range,23.0,Essence,2016,Automatique,0,820000.0
porsche,Cayenne,12.0,Essence,2020,Automatique,0,960000.0
porsche,Panamera,17.0,Hybride,2019,Automatique,0,920000.0
bmw,M5,31.0,Essence,2019,Automatique,0,980000.0
bmw,Serie,12.0,Diesel,2020,Automatique,0,850000.0
land-rover,Range,12.0,Diesel,2019,Automatique,0,660000.0
jeep,Grand,12.0,Diesel,2018,Automatique,0,220000.0
jaguar,Xf,8.0,Diesel,2018,Automatique,0,242000.0
audi,Q3,8.0,Diesel,2021,Automatique,0,620000.0
maserati,Levante,12.0,Diesel,2016,Automatique,0,430000.0
bmw,Serie,8.0,Diesel,2021,Automatique,0,330000.0
ford,Kuga,8.0,Diesel,2014,Manuelle,0,149000.0
renault,Megane,6.0,Diesel,2015,Manuelle,0,118000.0
ford,Kuga,8.0,Diesel,2014,Manuelle,0,149000.0
fiat,500x,6.0,Diesel,2023,Manuelle,0,215000.0
alfa-romeo,Giulia,9.0,Diesel,2021,Automatique,0,320000.0
fiat,Fiorino,5.0,Diesel,2023,Manuelle,0,130000.0
fiat,500,7.0,Essence,2020,Automatique,0,122500.0
alfa-romeo,Tonale,8.0,Hybride,2022,Automatique,0,363000.0
fiat,Panda,7.0,Essence,2023,Manuelle,0,120000.0
fiat,500,7.0,Essence,2023,Manuelle,0,143000.0
fiat,500x,6.0,Diesel,2023,Manuelle,0,240000.0
fiat,500,7.0,Essence,2023,Manuelle,0,144999.0
alfa-romeo,Giulia,9.0,Diesel,2022,Automatique,0,380000.0
peugeot,Partner,6.0,Diesel,2019,Manuelle,0,88000.0
fiat,Doblo,6.0,Diesel,2016,Manuelle,0,78000.0
renault,Express,6.0,Diesel,2023,Manuelle,0,178000.0
jeep,Grand,12.0,Diesel,2019,Automatique,0,255000.0
audi,Q7,12.0,Diesel,2022,Automatique,0,719000.0
citroen,C3,6.0,Diesel,2019,Manuelle,0,155000.0
hyundai,I10,6.0,Diesel,2014,Manuelle,0,75000.0
dacia,Logan,6.0,Diesel,2017,Manuelle,0,110000.0
nissan,Qashqai,6.0,Diesel,2012,Manuelle,0,110000.0
citroen,Berlingo,6.0,Diesel,2021,Manuelle,0,177000.0
volkswagen,Golf,8.0,Diesel,2017,Automatique,0,320000.0
fiat,500c,7.0,Essence,2021,Automatique,0,143000.0
volkswagen,Golf,9.0,Essence,2010,Manuelle,0,95000.0
audi,A6,8.0,Diesel,2020,Automatique,0,449999.0
mercedes,Classe,6.0,Diesel,2019,Automatique,0,375000.0
citroen,C3,6.0,Diesel,2021,Manuelle,0,149000.0
fiat,500,7.0,Essence,2021,Automatique,0,149000.0
hyundai,H350,10.0,Diesel,2018,Manuelle,0,165000.0
volkswagen,Caddy,8.0,Diesel,2019,Manuelle,0,185000.0
bmw,X5,8.0,Diesel,2018,Automatique,0,420000.0
mercedes,Gle,12.0,Diesel,2016,Automatique,0,585000.0
mercedes,Classe,36.0,Essence,2011,Automatique,0,240000.0
bmw,Serie,8.0,Diesel,2017,Automatique,0,235000.0
land-rover,Range,12.0,Diesel,2014,Automatique,0,440000.0
land-rover,Range,12.0,Diesel,2013,Automatique,0,390000.0
jaguar,F-type,11.0,Essence,2023,Automatique,0,700000.0
volvo,Xc60,8.0,Diesel,2014,Automatique,0,146000.0
bmw,Serie,8.0,Diesel,2017,Automatique,0,319000.0
mercedes,Classe,8.0,Diesel,2011,Manuelle,0,85000.0
volvo,Xc60,8.0,Diesel,2019,Automatique,0,330000.0
jaguar,Xf,17.0,Essence,2008,Automatique,0,45000.0
alfa-romeo,Giulietta,6.0,Diesel,2018,Automatique,0,167000.0
citroen,C-elysee,6.0,Diesel,2022,Manuelle,0,138000.0
hyundai,Grand,6.0,Essence,2020,Manuelle,0,106000.0
dacia,Logan,6.0,Diesel,2022,Manuelle,0,137000.0
fiat,Panda,7.0,Essence,2023,Manuelle,0,125000.0
fiat,Doblo,6.0,Diesel,2023,Manuelle,0,150000.0
fiat,500x,6.0,Diesel,2023,Manuelle,0,225000.0
alfa-romeo,Giulietta,8.0,Diesel,2023,Automatique,0,235000.0
fiat,Punto,5.0,Diesel,2023,Manuelle,0,149999.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,198950.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,198950.0
fiat,500,7.0,Essence,2023,Automatique,0,158000.0
fiat,500,7.0,Essence,2023,Automatique,0,145000.0
fiat,Punto,5.0,Diesel,2023,Manuelle,0,140000.0
volkswagen,Golf,8.0,Diesel,2016,Automatique,0,175000.0
ford,Ranger,9.0,Diesel,2017,Automatique,0,210000.0
toyota,Hilux,10.0,Diesel,2018,Manuelle,0,240000.0
renault,Clio,7.0,Diesel,2021,Manuelle,0,165000.0
mercedes,Gle,12.0,Diesel,2018,Automatique,0,540000.0
volkswagen,Passat,8.0,Diesel,2005,Manuelle,0,90000.0
hyundai,Kona,9.0,Hybride,2022,Automatique,0,255000.0
renault,Kadjar,6.0,Diesel,2020,Automatique,0,229000.0
mercedes,Classe,9.0,Diesel,2016,Automatique,0,330000.0
audi,A1,8.0,Essence,2012,Automatique,0,140000.0
audi,A6,8.0,Diesel,2020,Automatique,0,449999.0
volkswagen,Polo,7.0,Diesel,2020,Automatique,0,280000.0
seat,Ateca,8.0,Diesel,2023,Automatique,0,380000.0
volkswagen,Tiguan,8.0,Diesel,2017,Automatique,0,360000.0
seat,Ateca,8.0,Diesel,2022,Automatique,0,345000.0
hyundai,I30,6.0,Diesel,2020,Automatique,0,188000.0
land-rover,Range,12.0,Diesel,2017,Automatique,0,450000.0
audi,Q5,8.0,Diesel,2023,Automatique,0,980000.0
volkswagen,Touareg,12.0,Diesel,2020,Automatique,0,420000.0
land-rover,Range,12.0,Diesel,2017,Automatique,0,500000.0
audi,Q3,8.0,Diesel,2021,Automatique,0,540000.0
fiat,Tipo,6.0,Diesel,2019,Automatique,0,135000.0
mercedes,Classe,9.0,Diesel,2019,Automatique,0,400000.0
renault,Clio,6.0,Diesel,2021,Automatique,0,150000.0
volkswagen,Passat,8.0,Diesel,2017,Automatique,0,190000.0
nissan,Qashqai,6.0,Diesel,2019,Manuelle,0,190000.0
fiat,500,6.0,Essence,2014,Automatique,0,97000.0
peugeot,3008,8.0,Diesel,2019,Automatique,0,240000.0
peugeot,3008,8.0,Diesel,2019,Automatique,0,235000.0
lexus,Autre,14.0,Hybride,2020,Automatique,0,350000.0
skoda,Octavia,8.0,Diesel,2020,Automatique,0,205000.0
volkswagen,Tiguan,8.0,Diesel,2019,Automatique,0,295000.0
volkswagen,Golf,8.0,Diesel,2019,Automatique,0,221000.0
hyundai,Accent,6.0,Diesel,2019,Automatique,0,139000.0
dacia,Duster,6.0,Diesel,2021,Manuelle,0,183000.0
gmc,Yukon,35.0,Essence,2015,Automatique,0,520000.0
bmw,Serie,8.0,Diesel,2021,Automatique,0,500000.0
audi,Sq5,14.0,Diesel,2024,Automatique,0,1450000.0
audi,Q3,8.0,Diesel,2023,Automatique,0,800000.0
mercedes,Sl,23.0,Essence,2024,Automatique,0,2980000.0
audi,Rs-q3,14.0,Essence,2023,Automatique,0,1060000.0
volkswagen,Caddy,8.0,Diesel,2022,Automatique,0,395000.0
audi,A4,8.0,Diesel,2013,Automatique,0,215000.0
land-rover,Range,8.0,Diesel,2019,Automatique,0,415000.0
dacia,Duster,6.0,Diesel,2019,Manuelle,0,173000.0
audi,Q3,8.0,Diesel,2020,Automatique,0,560000.0
opel,Combo,6.0,Diesel,2021,Manuelle,0,170000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,197900.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,216000.0
jeep,Renegade,6.0,Diesel,2020,Automatique,0,250000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,199000.0
fiat,Panda,7.0,Essence,2023,Manuelle,0,125000.0
opel,Corsa,6.0,Diesel,2021,Manuelle,0,149000.0
opel,Corsa,6.0,Diesel,2021,Manuelle,0,149000.0
hyundai,Tucson,8.0,Diesel,2017,Automatique,0,265000.0
mini,Cooper,6.0,Diesel,2019,Automatique,0,275000.0
skoda,Karoq,8.0,Diesel,2020,Automatique,0,260000.0
jeep,Wrangler,11.0,Diesel,2017,Automatique,0,320000.0
volkswagen,Tiguan,8.0,Diesel,2014,Manuelle,0,215000.0
volkswagen,Tiguan,8.0,Diesel,2022,Automatique,0,500000.0
volkswagen,Tiguan,8.0,Diesel,2014,Manuelle,0,205000.0
mercedes,Classe,8.0,Diesel,2021,Automatique,0,730000.0
renault,Clio,7.0,Essence,2023,Automatique,0,198000.0
chevrolet,Camaro,18.0,Essence,2017,Automatique,0,280000.0
fiat,Fiorino,6.0,Diesel,2019,Manuelle,0,85000.0
peugeot,Partner,6.0,Diesel,2019,Manuelle,0,90000.0
dacia,Dokker,6.0,Diesel,2020,Manuelle,0,109000.0
volkswagen,Sharan,8.0,Diesel,2014,Automatique,0,229000.0
citroen,C3,6.0,Diesel,2022,Automatique,0,238000.0
dacia,Duster,6.0,Diesel,2017,Manuelle,0,134000.0
mercedes,Classe,12.0,Diesel,2014,Automatique,0,297000.0
mercedes,Classe,31.0,Essence,2013,Automatique,0,980000.0
mercedes,Classe,17.0,Hybride,2022,Automatique,0,1420000.0
audi,Q3,8.0,Diesel,2023,Automatique,0,785000.0
volkswagen,Coccinelle,8.0,Diesel,2018,Automatique,0,190000.0
ford,Kuga,8.0,Diesel,2015,Manuelle,0,150000.0
